# The serious remakes, one per line: asset:concept:height:palette:kit:family (tools/batch/serious_roster.py).
# AI_MODEL=meshy-7 bash tools/batch/wave_run.sh tools/batch/serious_wave.txt 500
ares_serious:Art/Concepts/ares_serious_sw.png:2.10:bronze, crimson, black:blade:ares
medusa_serious:Art/Concepts/medusa_serious_sw.png:1.95:green, gold, bronze:caster:medusa
mercury_serious:Art/Concepts/mercury_serious_sw.png:1.95:orange, gold, white:blade:mercury
minerva_serious:Art/Concepts/minerva_serious_sw.png:2.05:white, gold, imperial purple:caster:minerva
minotaur_serious:Art/Concepts/minotaur_serious_sw.png:2.40:brown, bronze, black:heavy:minotaur
mummy_serious:Art/Concepts/mummy_serious_sw.png:1.90:linen, gold, black:blade:mummy
nephthys_serious:Art/Concepts/nephthys_serious_sw.png:2.00:black, gold, dusk violet:caster:nephthys
neptune_serious:Art/Concepts/neptune_serious_sw.png:2.20:sea teal, bronze, deep blue:blade:neptune
nezha_serious:Art/Concepts/nezha_serious_sw.png:1.80:red, gold, white:blade:nezha
nike_serious:Art/Concepts/nike_serious_sw.png:1.95:white, gold, laurel green:blade:nike
njord_serious:Art/Concepts/njord_serious_sw.png:2.10:sea green, blue, gold:blade:njord
nuwa_serious:Art/Concepts/nuwa_serious_sw.png:2.05:yellow, jade green, five-colour:caster:nuwa
nymph_serious:Art/Concepts/nymph_serious_sw.png:1.85:sea green, white, silver:caster:nymph
odin_serious:Art/Concepts/odin_serious_sw.png:2.10:dark blue, grey, gold:caster:odin
osiris_serious:Art/Concepts/osiris_serious_sw.png:2.10:white, gold, green:caster:osiris
perseus_serious:Art/Concepts/perseus_serious_sw.png:1.90:bronze, white, sky blue:blade:perseus
pluto_serious:Art/Concepts/pluto_serious_sw.png:2.10:black, old gold, silver:caster:pluto
poseidon_serious:Art/Concepts/poseidon_serious_sw.png:2.15:sea green, bronze, white:heavy,attack_basic=240:poseidon
ptah_serious:Art/Concepts/ptah_serious_sw.png:2.05:white, lapis blue, gold:caster:ptah
ra_serious:Art/Concepts/ra_serious_sw.png:2.15:gold, white, carnelian red:caster:ra
satyr_serious:Art/Concepts/satyr_serious_sw.png:1.70:brown fur, tan skin, ivy green:caster:satyr
scarab_knight_serious:Art/Concepts/scarab_knight_serious_sw.png:1.90:teal, bronze, black:blade:scarab_knight
serqet_serious:Art/Concepts/serqet_serious_sw.png:1.95:black, gold, venom green:blade:serqet
set_serious:Art/Concepts/set_serious_sw.png:2.20:red-brown, gold, black:blade:set
shabti_serious:Art/Concepts/shabti_serious_sw.png:1.70:faience blue, black, gold:blade:shabti
shield_maiden_serious:Art/Concepts/shield_maiden_serious_sw.png:1.90:steel, dark blue, red:blade:shield_maiden
sif_serious:Art/Concepts/sif_serious_sw.png:2.00:gold, red, green:blade:sif
siren_serious:Art/Concepts/siren_serious_sw.png:1.90:teal, silver, dark green:caster:siren
skadi_serious:Art/Concepts/skadi_serious_sw.png:2.05:white, ice blue, silver:archer:skadi
sobek_serious:Art/Concepts/sobek_serious_sw.png:2.30:green, gold, bronze:heavy:sobek
sun_wukong_serious:Art/Concepts/sun_wukong_serious_sw.png:1.90:gold, red, tiger orange:blade:sun_wukong
surtr_serious:Art/Concepts/surtr_serious_sw.png:2.60:black, ember orange, iron:blade:surtr
taweret_serious:Art/Concepts/taweret_serious_sw.png:2.30:river green, gold, red:heavy:taweret
terracotta_soldier_serious:Art/Concepts/terracotta_soldier_serious_sw.png:1.95:terracotta brown, faded red, bronze:blade:terracotta_soldier
thor_serious:Art/Concepts/thor_serious_sw.png:2.20:iron, red, gold:heavy:thor
tyr_serious:Art/Concepts/tyr_serious_sw.png:2.05:steel blue, silver, white:blade:tyr
ullr_serious:Art/Concepts/ullr_serious_sw.png:2.05:white, ice blue, silver:archer:ullr
valkyrie_serious:Art/Concepts/valkyrie_serious_sw.png:1.95:silver, white, steel blue:blade:valkyrie
vestal_serious:Art/Concepts/vestal_serious_sw.png:1.85:white, hearth red, bronze:caster:vestal
vidar_serious:Art/Concepts/vidar_serious_sw.png:2.20:iron, dark green, leather brown:heavy:vidar
ares_awakened_serious:Art/Concepts/ares_awakened_serious_sw.png:2.10:burnished gold, crimson, black:blade:ares_awakened
athena_awakened_serious:Art/Concepts/athena_awakened_serious_sw.png:2.05:silver, white, bronze:blade:athena_awakened
freya_awakened_serious:Art/Concepts/freya_awakened_serious_sw.png:2.00:rose gold, cream, brown:caster:freya_awakened
hades_awakened_serious:Art/Concepts/hades_awakened_serious_sw.png:2.10:black, gold, amethyst violet:caster:hades_awakened
horus_awakened_serious:Art/Concepts/horus_awakened_serious_sw.png:2.10:gold, lapis blue, white:blade:horus_awakened
isis_awakened_serious:Art/Concepts/isis_awakened_serious_sw.png:2.00:white, gold, turquoise:caster:isis_awakened
mars_awakened_serious:Art/Concepts/mars_awakened_serious_sw.png:2.25:engraved bronze, crimson, gold:blade:mars_awakened
odin_awakened_serious:Art/Concepts/odin_awakened_serious_sw.png:2.10:midnight blue, pale gold, black raven:caster:odin_awakened
osiris_awakened_serious:Art/Concepts/osiris_awakened_serious_sw.png:2.10:white, gold, jade green:caster:osiris_awakened
poseidon_awakened_serious:Art/Concepts/poseidon_awakened_serious_sw.png:2.15:sea green, bronze, pearl:heavy:poseidon_awakened
ra_awakened_serious:Art/Concepts/ra_awakened_serious_sw.png:2.15:blazing gold, white, carnelian:caster:ra_awakened
sekhmet_awakened_serious:Art/Concepts/sekhmet_awakened_serious_sw.png:2.00:burnished gold, crimson, near-black lioness fur:blade:sekhmet_awakened
thor_awakened_serious:Art/Concepts/thor_awakened_serious_sw.png:2.20:steel, crimson, storm blue:heavy:thor_awakened
thoth_awakened_serious:Art/Concepts/thoth_awakened_serious_sw.png:2.05:white, burnished gold, lapis blue:caster:thoth_awakened
zeus_awakened_serious:Art/Concepts/zeus_awakened_serious_sw.png:2.15:white, burnished gold, storm blue:blade:zeus_awakened
boss_colossus_serious:Art/Concepts/boss_colossus_serious_sw.png:8.00:patina green, bronze, gold:heavy:boss_colossus
boss_unwrapped_king_serious:Art/Concepts/boss_unwrapped_king_serious_sw.png:6.00:tarnished gold, linen, dust grey:caster:boss_unwrapped_king
